ODS,Year,Q,Variable,Value
RXL,2017,Q4,General and Accute - Available,760
RXL,2017,Q4,General and Accute - Occupied,678
RXN,2017,Q4,General and Accute - Available,815
RXN,2017,Q4,General and Accute - Occupied,793
RXP,2017,Q4,General and Accute - Available,914
RXP,2017,Q4,General and Accute - Occupied,777
RXR,2017,Q4,General and Accute - Available,896
RXR,2017,Q4,General and Accute - Occupied,841
RY6,2017,Q4,General and Accute - Available,70
RY6,2017,Q4,General and Accute - Occupied,66
TAD,2017,Q4,General and Accute - Available,
TAD,2017,Q4,General and Accute - Occupied,
TAH,2017,Q4,General and Accute - Available,
TAH,2017,Q4,General and Accute - Occupied,
R1A,2017,Q4,General and Accute - Available,39
R1A,2017,Q4,General and Accute - Occupied,35
R1E,2017,Q4,General and Accute - Available,149
R1E,2017,Q4,General and Accute - Occupied,141
RAJ,2017,Q4,General and Accute - Available,544
RAJ,2017,Q4,General and Accute - Occupied,486
RBK,2017,Q4,General and Accute - Available,500
RBK,2017,Q4,General and Accute - Occupied,451
RC1,2017,Q4,General and Accute - Available,384
RC1,2017,Q4,General and Accute - Occupied,375
RC9,2017,Q4,General and Accute - Available,616
RC9,2017,Q4,General and Accute - Occupied,578
RCX,2017,Q4,General and Accute - Available,449
RCX,2017,Q4,General and Accute - Occupied,406
RD8,2017,Q4,General and Accute - Available,436
RD8,2017,Q4,General and Accute - Occupied,432
RDD,2017,Q4,General and Accute - Available,637
RDD,2017,Q4,General and Accute - Occupied,631
RDE,2017,Q4,General and Accute - Available,586
RDE,2017,Q4,General and Accute - Occupied,539
RFS,2017,Q4,General and Accute - Available,517
RFS,2017,Q4,General and Accute - Occupied,480
RGM,2017,Q4,General and Accute - Available,212
RGM,2017,Q4,General and Accute - Occupied,173
RGN,2017,Q4,General and Accute - Available,595
RGN,2017,Q4,General and Accute - Occupied,513
RGP,2017,Q4,General and Accute - Available,430
RGP,2017,Q4,General and Accute - Occupied,372
RGQ,2017,Q4,General and Accute - Available,594
RGQ,2017,Q4,General and Accute - Occupied,577
RGR,2017,Q4,General and Accute - Available,460
RGR,2017,Q4,General and Accute - Occupied,395
RGT,2017,Q4,General and Accute - Available,955
RGT,2017,Q4,General and Accute - Occupied,881
RHA,2017,Q4,General and Accute - Available,90
RHA,2017,Q4,General and Accute - Occupied,81
RJC,2017,Q4,General and Accute - Available,458
RJC,2017,Q4,General and Accute - Occupied,403
RJE,2017,Q4,General and Accute - Available,1273
RJE,2017,Q4,General and Accute - Occupied,1206
RJF,2017,Q4,General and Accute - Available,480
RJF,2017,Q4,General and Accute - Occupied,438
RK5,2017,Q4,General and Accute - Available,607
RK5,2017,Q4,General and Accute - Occupied,557
RKB,2017,Q4,General and Accute - Available,1118
RKB,2017,Q4,General and Accute - Occupied,1094
RL1,2017,Q4,General and Accute - Available,157
RL1,2017,Q4,General and Accute - Occupied,118
RL4,2017,Q4,General and Accute - Available,866
RL4,2017,Q4,General and Accute - Occupied,776
RLQ,2017,Q4,General and Accute - Available,269
RLQ,2017,Q4,General and Accute - Occupied,253
RLT,2017,Q4,General and Accute - Available,324
RLT,2017,Q4,General and Accute - Occupied,282
RLY,2017,Q4,General and Accute - Available,
RLY,2017,Q4,General and Accute - Occupied,
RM1,2017,Q4,General and Accute - Available,944
RM1,2017,Q4,General and Accute - Occupied,873
RMY,2017,Q4,General and Accute - Available,
RMY,2017,Q4,General and Accute - Occupied,
RNA,2017,Q4,General and Accute - Available,738
RNA,2017,Q4,General and Accute - Occupied,670
RNQ,2017,Q4,General and Accute - Available,625
RNQ,2017,Q4,General and Accute - Occupied,621
RNS,2017,Q4,General and Accute - Available,739
RNS,2017,Q4,General and Accute - Occupied,690
RP1,2017,Q4,General and Accute - Available,122
RP1,2017,Q4,General and Accute - Occupied,118
RP7,2017,Q4,General and Accute - Available,
RP7,2017,Q4,General and Accute - Occupied,
RQ3,2017,Q4,General and Accute - Available,263
RQ3,2017,Q4,General and Accute - Occupied,231
RQ8,2017,Q4,General and Accute - Available,512
RQ8,2017,Q4,General and Accute - Occupied,504
RQQ,2017,Q4,General and Accute - Available,187
RQQ,2017,Q4,General and Accute - Occupied,168
RQW,2017,Q4,General and Accute - Available,436
RQW,2017,Q4,General and Accute - Occupied,436
RR1,2017,Q4,General and Accute - Available,1369
RR1,2017,Q4,General and Accute - Occupied,1308
RRD,2017,Q4,General and Accute - Available,
RRD,2017,Q4,General and Accute - Occupied,
RRE,2017,Q4,General and Accute - Available,
RRE,2017,Q4,General and Accute - Occupied,
RRJ,2017,Q4,General and Accute - Available,105
RRJ,2017,Q4,General and Accute - Occupied,71
RRK,2017,Q4,General and Accute - Available,1076
RRK,2017,Q4,General and Accute - Occupied,1038
RT1,2017,Q4,General and Accute - Available,67
RT1,2017,Q4,General and Accute - Occupied,62
RTG,2017,Q4,General and Accute - Available,1013
RTG,2017,Q4,General and Accute - Occupied,919
RWD,2017,Q4,General and Accute - Available,1112
RWD,2017,Q4,General and Accute - Occupied,908
RWE,2017,Q4,General and Accute - Available,1545
RWE,2017,Q4,General and Accute - Occupied,1362
RWG,2017,Q4,General and Accute - Available,686
RWG,2017,Q4,General and Accute - Occupied,633
RWH,2017,Q4,General and Accute - Available,659
RWH,2017,Q4,General and Accute - Occupied,554
RWN,2017,Q4,General and Accute - Available,77
RWN,2017,Q4,General and Accute - Occupied,71
RWP,2017,Q4,General and Accute - Available,758
RWP,2017,Q4,General and Accute - Occupied,709
RX1,2017,Q4,General and Accute - Available,1520
RX1,2017,Q4,General and Accute - Occupied,1383
RXK,2017,Q4,General and Accute - Available,668
RXK,2017,Q4,General and Accute - Occupied,626
RXM,2017,Q4,General and Accute - Available,
RXM,2017,Q4,General and Accute - Occupied,
RXT,2017,Q4,General and Accute - Available,
RXT,2017,Q4,General and Accute - Occupied,
RXW,2017,Q4,General and Accute - Available,750
RXW,2017,Q4,General and Accute - Occupied,699
RY3,2017,Q4,General and Accute - Available,74
RY3,2017,Q4,General and Accute - Occupied,68
RY5,2017,Q4,General and Accute - Available,58
RY5,2017,Q4,General and Accute - Occupied,47
RY8,2017,Q4,General and Accute - Available,
RY8,2017,Q4,General and Accute - Occupied,
RYG,2017,Q4,General and Accute - Available,
RYG,2017,Q4,General and Accute - Occupied,
RYK,2017,Q4,General and Accute - Available,
RYK,2017,Q4,General and Accute - Occupied,
RYV,2017,Q4,General and Accute - Available,35
RYV,2017,Q4,General and Accute - Occupied,10
RYW,2017,Q4,General and Accute - Available,225
RYW,2017,Q4,General and Accute - Occupied,208
TAJ,2017,Q4,General and Accute - Available,
TAJ,2017,Q4,General and Accute - Occupied,
R1H,2017,Q4,General and Accute - Available,1706
R1H,2017,Q4,General and Accute - Occupied,1640
R1K,2017,Q4,General and Accute - Available,1135
R1K,2017,Q4,General and Accute - Occupied,1063
RAL,2017,Q4,General and Accute - Available,954
RAL,2017,Q4,General and Accute - Occupied,891
RAN,2017,Q4,General and Accute - Available,167
RAN,2017,Q4,General and Accute - Occupied,112
RAP,2017,Q4,General and Accute - Available,498
RAP,2017,Q4,General and Accute - Occupied,469
RAS,2017,Q4,General and Accute - Available,451
RAS,2017,Q4,General and Accute - Occupied,425
RAT,2017,Q4,General and Accute - Available,180
RAT,2017,Q4,General and Accute - Occupied,165
RAX,2017,Q4,General and Accute - Available,419
RAX,2017,Q4,General and Accute - Occupied,407
RF4,2017,Q4,General and Accute - Available,906
RF4,2017,Q4,General and Accute - Occupied,843
RJ1,2017,Q4,General and Accute - Available,1002
RJ1,2017,Q4,General and Accute - Occupied,846
RJ2,2017,Q4,General and Accute - Available,888
RJ2,2017,Q4,General and Accute - Occupied,842
RJ6,2017,Q4,General and Accute - Available,489
RJ6,2017,Q4,General and Accute - Occupied,469
RJ7,2017,Q4,General and Accute - Available,932
RJ7,2017,Q4,General and Accute - Occupied,851
RJZ,2017,Q4,General and Accute - Available,1248
RJZ,2017,Q4,General and Accute - Occupied,1226
RKE,2017,Q4,General and Accute - Available,279
RKE,2017,Q4,General and Accute - Occupied,242
RKL,2017,Q4,General and Accute - Available,20
RKL,2017,Q4,General and Accute - Occupied,13
RP4,2017,Q4,General and Accute - Available,280
RP4,2017,Q4,General and Accute - Occupied,228
RP6,2017,Q4,General and Accute - Available,9
RP6,2017,Q4,General and Accute - Occupied,6
RPG,2017,Q4,General and Accute - Available,
RPG,2017,Q4,General and Accute - Occupied,
RPY,2017,Q4,General and Accute - Available,188
RPY,2017,Q4,General and Accute - Occupied,156
RQM,2017,Q4,General and Accute - Available,742
RQM,2017,Q4,General and Accute - Occupied,727
RQX,2017,Q4,General and Accute - Available,392
RQX,2017,Q4,General and Accute - Occupied,307
RQY,2017,Q4,General and Accute - Available,
RQY,2017,Q4,General and Accute - Occupied,
RRP,2017,Q4,General and Accute - Available,
RRP,2017,Q4,General and Accute - Occupied,
RRV,2017,Q4,General and Accute - Available,829
RRV,2017,Q4,General and Accute - Occupied,676
RT3,2017,Q4,General and Accute - Available,386
RT3,2017,Q4,General and Accute - Occupied,328
RV3,2017,Q4,General and Accute - Available,82
RV3,2017,Q4,General and Accute - Occupied,74
RVR,2017,Q4,General and Accute - Available,821
RVR,2017,Q4,General and Accute - Occupied,681
RWK,2017,Q4,General and Accute - Available,32
RWK,2017,Q4,General and Accute - Occupied,26
RYJ,2017,Q4,General and Accute - Available,1024
RYJ,2017,Q4,General and Accute - Occupied,871
RYX,2017,Q4,General and Accute - Available,117
RYX,2017,Q4,General and Accute - Occupied,105
TAF,2017,Q4,General and Accute - Available,
TAF,2017,Q4,General and Accute - Occupied,
R1C,2017,Q4,General and Accute - Available,57
R1C,2017,Q4,General and Accute - Occupied,54
R1F,2017,Q4,General and Accute - Available,260
R1F,2017,Q4,General and Accute - Occupied,244
R1J,2017,Q4,General and Accute - Available,
R1J,2017,Q4,General and Accute - Occupied,
RA2,2017,Q4,General and Accute - Available,445
RA2,2017,Q4,General and Accute - Occupied,368
RA3,2017,Q4,General and Accute - Available,265
RA3,2017,Q4,General and Accute - Occupied,265
RA4,2017,Q4,General and Accute - Available,333
